"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42108,-123.3389,"Private room",1,2,"$350.00"
"2","Southern Gulf Islands",48.77166,-123.29525,"Entire home/apt",2,3,"$50.00"
"3","Colwood",48.4085,-123.50878,"Entire home/apt",1,1,"$93.00"
"4","Victoria",48.42668,-123.3398,"Private room",1,1,"$189.00"
"5","Victoria",48.42587,-123.34002,"Private room",1,1,"$189.00"
"6","Victoria",48.42461,-123.3381,"Private room",1,1,"$109.00"
"7","Victoria",48.42515,-123.33977,"Private room",1,1,"$279.00"
"8","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"9","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$165.00"
"10","Central Saanich",48.58018,-123.46645,"Entire home/apt",2,4,"$400.00"
"11","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"12","Victoria",48.41732,-123.36801,"Private room",2.5,1,"$60.00"
"13","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$150.00"
"14","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"15","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$165.00"
"16","Victoria",48.42935,-123.37834,"Entire home/apt",1,1,"$140.00"
"17","Highlands",48.50467,-123.4625,"Private room",1,1,"$68.00"
"18","Highlands",48.50644,-123.46423,"Private room",1,1,"$140.00"
"19","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"20","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$369.00"
"21","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$120.00"
"22","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$75.00"
"23","Victoria",48.42882,-123.35055,"Private room",1,1,"$171.00"
"24","Victoria",48.42684,-123.35082,"Private room",1,2,"$250.00"
"25","Victoria",48.41276,-123.36944,"Private room",1,1,"$54.00"
"26","Victoria",48.42967,-123.36237,"Entire home/apt",1,1,"$107.00"
"27","Victoria",48.4419,-123.35661,"Private room",1,1,"$46.00"
"28","Victoria",48.41795,-123.35223,"Entire home/apt",1,1,"$99.00"
"29","Sooke",48.38375,-123.70692,"Entire home/apt",1,1,"$150.00"
"30","Langford",48.41591,-123.51703,"Entire home/apt",1,1,"$109.00"
"31","Victoria",48.42749,-123.36361,"Entire home/apt",1,2,"$109.00"
"32","Victoria",48.40891,-123.33573,"Entire home/apt",1,2,"$150.00"
"33","Victoria",48.4317,-123.32508,"Private room",1,1,"$110.00"
"34","Victoria",48.41107,-123.37675,"Entire home/apt",1,1,"$149.00"
"35","Victoria",48.41263,-123.37702,"Entire home/apt",1,0,"$120.00"
"36","Sidney",48.66178,-123.40366,"Entire home/apt",2,3,"$348.00"
"37","Victoria",48.42611,-123.34047,"Entire home/apt",1,0,"$109.00"
"38","Victoria",48.4249,-123.33928,"Entire home/apt",1,1,"$67.00"
"39","Victoria",48.43066,-123.37843,"Entire home/apt",1,1,"$0.00"
"40","Victoria",48.42641,-123.34648,"Entire home/apt",1,2,"$169.00"
"41","Victoria",48.43183,-123.32669,"Private room",1,1,"$120.00"
"42","Salt Spring Island",48.92753,-123.57295,"Private room",1,1,"$175.00"
"43","Victoria",48.42416,-123.34062,"Entire home/apt",1,1,"$120.00"
"44","Victoria",48.42598,-123.33982,"Entire home/apt",1,2,"$94.00"
"45","Victoria",48.41292,-123.37774,"Entire home/apt",1,0,"$129.00"
"46","Victoria",48.42223,-123.34636,"Entire home/apt",3,5,"$385.00"
"47","Salt Spring Island",48.9273,-123.57431,"Private room",1,1,"$196.00"
"48","Victoria",48.43936,-123.34842,"Entire home/apt",1,1,"$136.00"
"49","Victoria",48.42641,-123.36922,"Entire home/apt",1,0,"$115.00"
"50","Metchosin",48.35166,-123.55374,"Entire home/apt",1,2,"$200.00"
"51","Saanich",48.45215,-123.41781,"Entire home/apt",1,1,"$75.00"
"52","Victoria",48.42619,-123.33986,"Entire home/apt",1,2,"$90.00"
"53","Victoria",48.44101,-123.35339,"Private room",1.5,1,"$64.00"
"54","Victoria",48.43019,-123.36862,"Entire home/apt",1,1,"$189.00"
"55","Esquimalt",48.43875,-123.39495,"Private room",1,1,"$59.00"
"56","Salt Spring Island",48.87769,-123.56839,"Entire home/apt",1,1,"$226.00"
"57","Salt Spring Island",48.87961,-123.56984,"Entire home/apt",1,1,"$200.00"
"58","Victoria",48.43492,-123.34064,"Entire home/apt",1,1,"$103.00"
