id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
14560,2019/8/31,Colwood,48.4085,-123.50878,Entire home/apt,92
18101,2019/8/31,Victoria,48.42668,-123.3398,Private room,189
18103,2019/8/31,Victoria,48.42587,-123.34002,Private room,189
18106,2019/8/31,Victoria,48.42461,-123.3381,Private room,109
19898,2019/8/31,Victoria,48.42515,-123.33977,Private room,279
47421,2019/8/31,Victoria,48.42106,-123.3634,Entire home/apt,100
54423,2019/8/31,Victoria,48.421,-123.36325,Entire home/apt,110
83515,2019/8/31,Salt Spring Island,48.85918,-123.49396,Entire home/apt,165
138163,2019/8/31,Southern Gulf Islands,48.91177,-123.37735,Entire home/apt,160
179318,2019/8/31,Victoria,48.42859,-123.37026,Entire home/apt,150
185732,2019/8/31,Highlands,48.50617,-123.46399,Private room,199
193366,2019/8/31,Victoria,48.42525,-123.33686,Entire home/apt,165
201427,2019/8/31,Highlands,48.50467,-123.4625,Private room,69
201441,2019/8/31,Highlands,48.50644,-123.46423,Private room,140
203416,2019/8/31,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,110
210677,2019/8/31,Victoria,48.41535,-123.37037,Entire home/apt,392
212267,2019/8/31,Victoria,48.41741,-123.36939,Entire home/apt,140
225431,2019/8/31,Victoria,48.41074,-123.35294,Entire home/apt,74
226028,2019/8/31,Victoria,48.42882,-123.35055,Entire home/apt,185
226030,2019/8/31,Victoria,48.42684,-123.35082,Private room,250
237053,2019/8/31,Victoria,48.41276,-123.36944,Private room,55
239129,2019/8/31,Victoria,48.42967,-123.36237,Entire home/apt,106
250576,2019/8/31,Victoria,48.4419,-123.35661,Private room,45
259984,2019/8/31,Victoria,48.41795,-123.35223,Entire home/apt,98
326869,2019/8/31,Langford,48.41591,-123.51703,Entire home/apt,109
330264,2019/8/31,Saanich,48.45291,-123.39693,Entire home/apt,100
330706,2019/8/31,Victoria,48.42749,-123.36361,Entire home/apt,109
348606,2019/8/31,Victoria,48.40891,-123.33573,Entire home/apt,150
394086,2019/8/31,Victoria,48.4317,-123.32508,Private room,110
401073,2019/8/31,Victoria,48.41107,-123.37675,Entire home/apt,136
405558,2019/8/31,Victoria,48.41263,-123.37702,Entire home/apt,94
408315,2019/8/31,Sidney,48.66178,-123.40366,Entire home/apt,230
410541,2019/8/31,Victoria,48.42611,-123.34047,Entire home/apt,85
410542,2019/8/31,Victoria,48.4249,-123.33928,Entire home/apt,94
410918,2019/8/31,Victoria,48.43066,-123.37843,Entire home/apt,145
416786,2019/8/31,Victoria,48.42641,-123.34648,Entire home/apt,130
417778,2019/8/31,Victoria,48.43183,-123.32669,Private room,120
449236,2019/8/31,Salt Spring Island,48.92753,-123.57295,Private room,176
461498,2019/8/31,Victoria,48.42416,-123.34062,Entire home/apt,108
461499,2019/8/31,Victoria,48.42598,-123.33982,Entire home/apt,130
463027,2019/8/31,Victoria,48.41292,-123.37774,Entire home/apt,98
466191,2019/8/31,Victoria,48.42223,-123.34636,Entire home/apt,500
472025,2019/8/31,Salt Spring Island,48.9273,-123.57431,Private room,196
479450,2019/8/31,Victoria,48.43936,-123.34842,Entire home/apt,136
499085,2019/8/31,Victoria,48.42703,-123.34751,Entire home/apt,136
499119,2019/8/31,Victoria,48.42641,-123.36922,Entire home/apt,114
512926,2019/8/31,Metchosin,48.35166,-123.55374,Entire home/apt,199
514811,2019/8/31,Saanich,48.45215,-123.41781,Entire home/apt,74
515418,2019/8/31,Victoria,48.42619,-123.33986,Entire home/apt,136
523926,2019/8/31,Victoria,48.44101,-123.35339,Private room,74
528492,2019/8/31,Victoria,48.43019,-123.36862,Entire home/apt,189
531508,2019/8/31,Victoria,48.44439,-123.33511,Entire home/apt,250
532854,2019/8/31,Esquimalt,48.43875,-123.39495,Private room,59
537710,2019/8/31,Salt Spring Island,48.87769,-123.56839,Entire home/apt,225
