id,last_scraped,neighbourhood_group_cleansed,property_type,price
1591,2019-03-25,Victoria,Bed and breakfast,$350.00 
12125,2019-03-25,Southern Gulf Islands,Guesthouse,$50.00 
14560,2019-03-25,Colwood,Condominium,$93.00 
18101,2019-03-25,Victoria,Bed and breakfast,$189.00 
18103,2019-03-25,Victoria,Bed and breakfast,$189.00 
18106,2019-03-25,Victoria,Bed and breakfast,$109.00 
19898,2019-03-25,Victoria,Apartment,$279.00 
54423,2019-03-25,Victoria,Apartment,$110.00 
83515,2019-03-25,Salt Spring Island,Guest suite,$165.00 
121235,2019-03-25,Central Saanich,House,$400.00 
138163,2019-03-25,Southern Gulf Islands,Cabin,$160.00 
171904,2019-03-25,Victoria,House,$60.00 
179318,2019-03-25,Victoria,Loft,$150.00 
185732,2019-03-25,Highlands,House,$199.00 
193366,2019-03-25,Victoria,Guest suite,$165.00 
200672,2019-03-25,Victoria,Apartment,$140.00 
201427,2019-03-25,Highlands,House,$68.00 
201441,2019-03-25,Highlands,House,$140.00 
203416,2019-03-25,Southern Gulf Islands,Cabin,$110.00 
210677,2019-03-25,Victoria,House,$369.00 
212267,2019-03-25,Victoria,House,$120.00 
225431,2019-03-25,Victoria,House,$75.00 
226028,2019-03-25,Victoria,House,$171.00 
226030,2019-03-25,Victoria,House,$250.00 
237053,2019-03-25,Victoria,Bed and breakfast,$54.00 
239129,2019-03-25,Victoria,Loft,$107.00 
250576,2019-03-25,Victoria,House,$46.00 
259984,2019-03-25,Victoria,Apartment,$99.00 
306192,2019-03-25,Sooke,Guesthouse,$150.00 
326869,2019-03-25,Langford,Guest suite,$109.00 
330706,2019-03-25,Victoria,Condominium,$109.00 
348606,2019-03-25,Victoria,Guest suite,$150.00 
394086,2019-03-25,Victoria,House,$110.00 
401073,2019-03-25,Victoria,Apartment,$149.00 
405558,2019-03-25,Victoria,Apartment,$120.00 
408315,2019-03-25,Sidney,House,$348.00 
410541,2019-03-25,Victoria,Apartment,$109.00 
410542,2019-03-25,Victoria,Apartment,$67.00 
410918,2019-03-25,Victoria,Condominium,$0.00 
416786,2019-03-25,Victoria,House,$169.00 
417778,2019-03-25,Victoria,House,$120.00 
