id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
1591,2018/12/16,Victoria,48.42107763,-123.3388978,Private room,219.00 
12125,2018/12/16,Southern Gulf Islands,48.77165826,-123.2952487,Entire home/apt,50.00 
14560,2018/12/16,Colwood,48.40850326,-123.5087792,Entire home/apt,128.00 
16776,2018/12/16,Sidney,48.65056228,-123.3948549,Private room,843.00 
47421,2018/12/16,Victoria,48.42106484,-123.3633995,Entire home/apt,100.00 
54423,2018/12/16,Victoria,48.42099911,-123.3632507,Entire home/apt,110.00 
83515,2018/12/16,Salt Spring Island,48.85917581,-123.4939589,Entire home/apt,165.00 
121235,2018/12/16,Central Saanich,48.58017823,-123.4664542,Entire home/apt,400.00 
138163,2018/12/16,Southern Gulf Islands,48.91177258,-123.377354,Entire home/apt,161.00 
171904,2018/12/16,Victoria,48.4173193,-123.3680054,Private room,60.00 
179318,2018/12/16,Victoria,48.42859328,-123.3702598,Entire home/apt,124.00 
185732,2018/12/16,Highlands,48.50616811,-123.4639917,Private room,199.00 
193366,2018/12/16,Victoria,48.42524622,-123.3368641,Entire home/apt,165.00 
200672,2018/12/16,Victoria,48.42934721,-123.3783422,Entire home/apt,141.00 
201427,2018/12/16,Highlands,48.50467428,-123.4625025,Private room,70.00 
201441,2018/12/16,Highlands,48.50644342,-123.4642306,Private room,139.00 
203416,2018/12/16,Southern Gulf Islands,48.86711097,-123.3502729,Entire home/apt,110.00 
210677,2018/12/16,Victoria,48.41534867,-123.3703703,Entire home/apt,368.00 
212267,2018/12/16,Victoria,48.41741144,-123.3693929,Entire home/apt,119.00 
225431,2018/12/16,Victoria,48.41073677,-123.3529354,Entire home/apt,75.00 
226028,2018/12/16,Victoria,48.42882237,-123.3505512,Entire home/apt,170.00 
226030,2018/12/16,Victoria,48.42683914,-123.3508227,Entire home/apt,250.00 
237053,2018/12/16,Victoria,48.4127621,-123.3694384,Private room,54.00 
239129,2018/12/16,Victoria,48.42967128,-123.3623678,Entire home/apt,107.00 
250576,2018/12/16,Victoria,48.44189991,-123.3566144,Private room,46.00 
259984,2018/12/16,Victoria,48.41794649,-123.3522266,Entire home/apt,99.00 
306192,2018/12/16,Sooke,48.38374642,-123.7069175,Entire home/apt,150.00 
326869,2018/12/16,Langford,48.41591153,-123.5170306,Entire home/apt,108.00 
330264,2018/12/16,Saanich,48.4529128,-123.3969314,Private room,66.00 
330706,2018/12/16,Victoria,48.42749425,-123.3636127,Entire home/apt,99.00 
348606,2018/12/16,Victoria,48.40890638,-123.3357348,Entire home/apt,150.00 
394086,2018/12/16,Victoria,48.43170039,-123.3250811,Private room,110.00 
401073,2018/12/16,Victoria,48.41106502,-123.3767454,Entire home/apt,149.00 
405558,2018/12/16,Victoria,48.41263285,-123.3770215,Entire home/apt,119.00 
408315,2018/12/16,Sidney,48.66178224,-123.4036574,Entire home/apt,348.00 
410541,2018/12/16,Victoria,48.42610989,-123.3404666,Entire home/apt,108.00 
410542,2018/12/16,Victoria,48.42490447,-123.339285,Entire home/apt,119.00 
410918,2018/12/16,Victoria,48.43065928,-123.378435,Entire home/apt,0.00 
416786,2018/12/16,Victoria,48.42641356,-123.3464812,Entire home/apt,169.00 
417778,2018/12/16,Victoria,48.43182961,-123.3266877,Private room,120.00 
449236,2018/12/16,Salt Spring Island,48.92753149,-123.5729494,Private room,175.00 
455929,2018/12/16,North Saanich,48.67278377,-123.4660411,Entire home/apt,950.00 
461498,2018/12/16,Victoria,48.42415535,-123.3406246,Entire home/apt,119.00 
461499,2018/12/16,Victoria,48.4259799,-123.3398182,Entire home/apt,130.00 
463027,2018/12/16,Victoria,48.41292144,-123.3777374,Entire home/apt,128.00 
472025,2018/12/16,Salt Spring Island,48.92730485,-123.5743101,Private room,195.00 
479450,2018/12/16,Victoria,48.43936003,-123.3484187,Entire home/apt,115.00 
499119,2018/12/16,Victoria,48.42641195,-123.3692155,Entire home/apt,115.00 
512926,2018/12/16,Metchosin,48.35166303,-123.5537387,Entire home/apt,199.00 
514811,2018/12/16,Saanich,48.45214501,-123.4178062,Entire home/apt,75.00 
515418,2018/12/16,Victoria,48.42618826,-123.3398575,Entire home/apt,149.00 
523926,2018/12/16,Victoria,48.44101201,-123.3533859,Private room,70.00 
528492,2018/12/16,Victoria,48.43018874,-123.3686185,Entire home/apt,205.00 
532854,2018/12/16,Esquimalt,48.43874612,-123.394955,Private room,52.00 
537710,2018/12/16,Salt Spring Island,48.87769007,-123.5683941,Entire home/apt,225.00 
539214,2018/12/16,Salt Spring Island,48.87961103,-123.5698382,Entire home/apt,199.00 
555737,2018/12/16,Victoria,48.43492351,-123.3406415,Entire home/apt,104.00 
559726,2018/12/16,Victoria,48.42624182,-123.3401891,Entire home/apt,108.00 
561477,2018/12/16,Southern Gulf Islands,48.99370703,-123.5791527,Entire home/apt,124.00 
571258,2018/12/16,Sooke,48.38672339,-123.7240822,Entire home/apt,80.00 
594158,2018/12/16,Salt Spring Island,48.76703252,-123.458162,Private room,128.00 
611059,2018/12/16,Salt Spring Island,48.84301079,-123.5005802,Entire home/apt,150.00 
624238,2018/12/16,Oak Bay,48.40630103,-123.3203369,Entire home/apt,649.00 
644821,2018/12/16,Saanich,48.46887659,-123.3961651,Private room,51.00 
660733,2018/12/16,Victoria,48.4259005,-123.3402233,Entire home/apt,119.00 
665727,2018/12/16,Victoria,48.41537063,-123.3587331,Entire home/apt,225.00 
666592,2018/12/16,Victoria,48.41173914,-123.3764088,Entire home/apt,119.00 
668372,2018/12/16,View Royal,48.45847718,-123.42771,Entire home/apt,110.00 
683666,2018/12/16,Southern Gulf Islands,48.8599021,-123.3549603,Entire home/apt,110.00 
687407,2018/12/16,Southern Gulf Islands,48.79780228,-123.3092823,Entire home/apt,150.00 
702671,2018/12/16,Oak Bay,48.42758968,-123.3212253,Entire home/apt,325.00 
704843,2018/12/16,Esquimalt,48.43059368,-123.4142177,Entire home/apt,265.00 
734855,2018/12/16,Oak Bay,48.42031376,-123.3105737,Entire home/apt,185.00 
739975,2018/12/16,Saanich,48.51641365,-123.3671256,Entire home/apt,124.00 
746413,2018/12/16,Oak Bay,48.41497342,-123.3111634,Entire home/apt,161.00 
757490,2018/12/16,Southern Gulf Islands,48.84812619,-123.2895179,Entire home/apt,280.00 
765246,2018/12/16,Salt Spring Island,48.81277171,-123.466226,Entire home/apt,199.00 
773339,2018/12/16,Colwood,48.40637534,-123.5095383,Entire home/apt,80.00 
774824,2018/12/16,Victoria,48.42093144,-123.3811071,Entire home/apt,99.00 
775220,2018/12/16,Juan de Fuca,48.38136358,-123.8977681,Entire home/apt,250.00 
775418,2018/12/16,Esquimalt,48.43235993,-123.4140987,Entire home/apt,100.00 
784093,2018/12/16,Victoria,48.41510401,-123.3683535,Private room,80.00 
811395,2018/12/16,Saanich,48.47011279,-123.4066605,Entire home/apt,233.00 
823111,2018/12/16,Colwood,48.41910584,-123.4782618,Entire home/apt,70.00 
863030,2018/12/16,Salt Spring Island,48.76367592,-123.4568105,Entire home/apt,150.00 
870864,2018/12/16,Esquimalt,48.42739394,-123.4017612,Entire home/apt,62.00 
873616,2018/12/16,Sidney,48.63567724,-123.405121,Entire home/apt,189.00 
873876,2018/12/16,Victoria,48.41553963,-123.344128,Entire home/apt,278.00 
876406,2018/12/16,Victoria,48.41450156,-123.3775321,Entire home/apt,165.00 
892692,2018/12/16,Victoria,48.4450611,-123.3561884,Entire home/apt,189.00 
908514,2018/12/16,Langford,48.44064265,-123.5264113,Entire home/apt,225.00 
910427,2018/12/16,Southern Gulf Islands,48.88462142,-123.3313464,Entire home/apt,88.00 
920656,2018/12/16,Juan de Fuca,48.39360281,-123.9806694,Entire home/apt,100.00 
936367,2018/12/16,Victoria,48.41501374,-123.3489346,Entire home/apt,86.00 
939467,2018/12/16,Southern Gulf Islands,48.86648715,-123.3508953,Private room,700.00 
945706,2018/12/16,Esquimalt,48.43069671,-123.4135413,Entire home/apt,289.00 
955575,2018/12/16,Southern Gulf Islands,48.89011479,-123.3624358,Entire home/apt,150.00 
966412,2018/12/16,Victoria,48.41879527,-123.3809445,Entire home/apt,349.00 
973849,2018/12/16,Victoria,48.42535194,-123.342159,Entire home/apt,119.00 
978194,2018/12/16,Victoria,48.42320194,-123.3511835,Entire home/apt,104.00 
978212,2018/12/16,Victoria,48.42349614,-123.3528655,Entire home/apt,75.00 
978213,2018/12/16,Victoria,48.42349545,-123.3527336,Entire home/apt,103.00 
978771,2018/12/16,Victoria,48.41303634,-123.3698256,Private room,70.00 
985260,2018/12/16,Metchosin,48.39644094,-123.4934294,Entire home/apt,179.00 
990566,2018/12/16,Juan de Fuca,48.44218134,-124.0723862,Entire home/apt,100.00 
1015996,2018/12/16,Oak Bay,48.4214114,-123.3172252,Entire home/apt,335.00 
1021978,2018/12/16,Victoria,48.41070937,-123.3714521,Private room,141.00 
1024999,2018/12/16,View Royal,48.46712243,-123.4270065,Entire home/apt,141.00 
1038822,2018/12/16,Victoria,48.41176499,-123.376628,Entire home/apt,119.00 
1055500,2018/12/16,Victoria,48.41494679,-123.3685145,Entire home/apt,135.00 
1079545,2018/12/16,Victoria,48.43062556,-123.3390953,Entire home/apt,110.00 
1080149,2018/12/16,Salt Spring Island,48.82409014,-123.5302388,Entire home/apt,150.00 
1080266,2018/12/16,Salt Spring Island,48.82412277,-123.53071,Entire home/apt,225.00 
1080594,2018/12/16,Victoria,48.4164954,-123.3701114,Private room,115.00 
1091391,2018/12/16,Victoria,48.41947904,-123.3756635,Entire home/apt,70.00 
1114544,2018/12/16,Salt Spring Island,48.89496349,-123.5332261,Private room,150.00 
1114575,2018/12/16,Salt Spring Island,48.895051,-123.5339188,Private room,185.00 
1156460,2018/12/16,Oak Bay,48.40878526,-123.3214356,Entire home/apt,340.00 
1164613,2018/12/16,Colwood,48.43092454,-123.5113432,Private room,199.00 
1174303,2018/12/16,Southern Gulf Islands,48.80459159,-123.3181157,Entire home/apt,199.00 
1175299,2018/12/16,Saanich,48.44964128,-123.3627178,Private room,60.00 
1186607,2018/12/16,North Saanich,48.67690741,-123.4837941,Entire home/apt,175.00 
1193251,2018/12/16,Victoria,48.4249427,-123.3657188,Entire home/apt,115.00 
1194953,2018/12/16,Saanich,48.45459061,-123.3830574,Entire home/apt,60.00 
1216960,2018/12/16,Salt Spring Island,48.75897996,-123.4140654,Entire home/apt,100.00 
1226283,2018/12/16,Saanich,48.45204268,-123.4223881,Entire home/apt,115.00 
1237030,2018/12/16,Southern Gulf Islands,48.86791064,-123.2840771,Entire home/apt,100.00 
1244138,2018/12/16,Saanich,48.45098877,-123.3628505,Private room,71.00 
1288741,2018/12/16,Oak Bay,48.40997416,-123.3227565,Private room,80.00 
1295158,2018/12/16,Southern Gulf Islands,48.87845662,-123.3237821,Entire home/apt,199.00 
1298140,2018/12/16,Victoria,48.42884145,-123.3701647,Entire home/apt,70.00 
1301515,2018/12/16,Victoria,48.43583051,-123.3538382,Private room,43.00 
1313697,2018/12/16,Victoria,48.41647271,-123.345541,Entire home/apt,130.00 
1345737,2018/12/16,Victoria,48.40669105,-123.351219,Entire home/apt,135.00 
1345746,2018/12/16,Victoria,48.41521458,-123.3685591,Entire home/apt,100.00 
1352283,2018/12/16,Victoria,48.41616716,-123.3598703,Private room,62.00 
1352981,2018/12/16,Southern Gulf Islands,48.8977476,-123.397648,Entire home/apt,240.00 
1375505,2018/12/16,Saanich,48.45642683,-123.3868928,Private room,55.00 
1393334,2018/12/16,Victoria,48.4173285,-123.3694063,Entire home/apt,128.00 
1414651,2018/12/16,Salt Spring Island,48.85706217,-123.4793206,Entire home/apt,120.00 
1429004,2018/12/16,Salt Spring Island,48.87042445,-123.5471816,Entire home/apt,258.00 
1431103,2018/12/16,Juan de Fuca,48.40680787,-123.3548739,Private room,88.00 
1437207,2018/12/16,Victoria,48.44446232,-123.3756745,Entire home/apt,100.00 
1438200,2018/12/16,Southern Gulf Islands,48.75387615,-123.2700259,Entire home/apt,501.00 
1446069,2018/12/16,Salt Spring Island,48.80826632,-123.4297579,Private room,60.00 
1460894,2018/12/16,North Saanich,48.6956524,-123.4601128,Entire home/apt,110.00 
1471669,2018/12/16,Victoria,48.42652932,-123.3685898,Entire home/apt,115.00 
1535322,2018/12/16,Sooke,48.39252063,-123.6175176,Entire home/apt,128.00 
1538085,2018/12/16,Victoria,48.44943198,-123.3537864,Entire home/apt,90.00 
1567449,2018/12/16,Saanich,48.50248009,-123.3887436,Entire home/apt,189.00 
1615147,2018/12/16,Victoria,48.42285072,-123.3415104,Entire home/apt,100.00 
1625194,2018/12/16,Victoria,48.42899481,-123.3631039,Entire home/apt,108.00 
