"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.4210776306729,-123.33889776546,"Private room",1,2,"$219.00"
"2","Southern Gulf Islands",48.7716582588917,-123.295248689221,"Entire home/apt",2,3,"$50.00"
"3","Colwood",48.408503263635,-123.508779220218,"Entire home/apt",1,1,"$132.00"
"4","Sidney",48.6505622782516,-123.394854874212,"Private room",NA,1,"$843.00"
"5","Victoria",48.4210648361434,-123.363399504588,"Entire home/apt",1,1,"$100.00"
"6","Victoria",48.4209991063916,-123.363250714343,"Entire home/apt",1,2,"$111.00"
"7","Salt Spring Island",48.8591758121947,-123.493958874822,"Entire home/apt",1,1,"$165.00"
"8","Central Saanich",48.5801782278728,-123.466454215898,"Entire home/apt",2,4,"$350.00"
"9","Southern Gulf Islands",48.9117725828895,-123.377354037302,"Entire home/apt",1,1,"$159.00"
"10","Victoria",48.4173192952493,-123.368005432174,"Private room",2.5,1,"$61.00"
"11","Victoria",48.4285932826362,-123.370259836322,"Entire home/apt",1,1,"$125.00"
"12","Highlands",48.5061681102985,-123.463991653683,"Private room",1,2,"$199.00"
"13","Victoria",48.4252462187554,-123.33686407293,"Entire home/apt",2,2,"$165.00"
"14","Victoria",48.4293472091694,-123.378342223833,"Entire home/apt",1,1,"$140.00"
"15","Highlands",48.5046742808888,-123.462502456555,"Private room",1,1,"$68.00"
"16","Highlands",48.5064434188527,-123.464230622051,"Private room",1,1,"$140.00"
"17","Southern Gulf Islands",48.8671109730825,-123.350272932949,"Entire home/apt",1,1,"$125.00"
"18","Victoria",48.4153486713534,-123.370370284684,"Entire home/apt",2.5,3,"$362.00"
"19","Victoria",48.4174114361959,-123.369392931325,"Entire home/apt",1,1,"$119.00"
"20","Victoria",48.4107367699671,-123.352935420779,"Entire home/apt",1,2,"$75.00"
"21","Victoria",48.4288223679196,-123.350551224583,"Entire home/apt",1,1,"$170.00"
"22","Victoria",48.4268391422728,-123.350822717706,"Entire home/apt",1,2,"$250.00"
"23","Victoria",48.4127621011133,-123.369438379247,"Private room",1,1,"$54.00"
"24","Victoria",48.4296712849356,-123.362367797837,"Entire home/apt",1,1,"$107.00"
"25","Victoria",48.441899910569,-123.356614373974,"Private room",1,1,"$45.00"
"26","Victoria",48.4179464938992,-123.352226558153,"Entire home/apt",1,1,"$99.00"
"27","Juan de Fuca",48.379694075329,-123.862111615656,"Entire home/apt",1.5,3,"$125.00"
"28","Sooke",48.3837464237561,-123.706917540639,"Entire home/apt",1,1,"$150.00"
"29","Langford",48.4159115258837,-123.51703057368,"Entire home/apt",1,1,"$109.00"
"30","Saanich",48.4529127975586,-123.396931393927,"Private room",1,1,"$65.00"
"31","Victoria",48.4274942481149,-123.363612685752,"Entire home/apt",1,2,"$109.00"
"32","Victoria",48.4089063754568,-123.33573477865,"Entire home/apt",1,2,"$150.00"
"33","Victoria",48.4317003918318,-123.325081123177,"Private room",1,1,"$111.00"
"34","Victoria",48.411065021041,-123.376745395213,"Entire home/apt",1,1,"$149.00"
"35","Victoria",48.4126328481002,-123.377021523119,"Entire home/apt",1,0,"$119.00"
"36","Sidney",48.6617822429462,-123.403657437204,"Entire home/apt",2,3,"$348.00"
"37","Victoria",48.4261098932979,-123.340466604537,"Entire home/apt",1,0,"$109.00"
"38","Victoria",48.4249044685294,-123.339284952482,"Entire home/apt",1,1,"$119.00"
"39","Victoria",48.4306592758714,-123.378434961089,"Entire home/apt",1,1,"$0.00"
"40","Victoria",48.4264135636869,-123.346481189104,"Entire home/apt",1,2,"$169.00"
"41","Victoria",48.4318296121667,-123.326687656082,"Private room",1,1,"$120.00"
"42","Salt Spring Island",48.927531488478,-123.57294938185,"Private room",1,1,"$175.00"
"43","North Saanich",48.6727837696583,-123.466041144463,"Entire home/apt",3,7,"$950.00"
"44","Victoria",48.4241553515781,-123.340624588999,"Entire home/apt",1,1,"$119.00"
"45","Victoria",48.4259799037226,-123.339818195552,"Entire home/apt",1,2,"$130.00"
"46","Victoria",48.4129214370386,-123.377737425959,"Entire home/apt",1,0,"$129.00"
"47","Victoria",48.4222287837911,-123.346359002918,"Entire home/apt",3,5,"$385.00"
"48","Salt Spring Island",48.9273048471699,-123.57431007201,"Private room",1,1,"$196.00"
"49","Victoria",48.4393600294844,-123.348418724106,"Entire home/apt",1,1,"$115.00"
"50","Victoria",48.4264119509636,-123.369215510489,"Entire home/apt",1,0,"$115.00"
"51","Metchosin",48.3516630336511,-123.553738700222,"Entire home/apt",1,2,"$200.00"
"52","Saanich",48.4521450130776,-123.417806197868,"Entire home/apt",1,1,"$75.00"
"53","Victoria",48.4261882623461,-123.339857484588,"Entire home/apt",1,2,"$80.00"
"54","Victoria",48.4410120143878,-123.353385904969,"Private room",1.5,1,"$70.00"
"55","Victoria",48.4301887410218,-123.368618507018,"Entire home/apt",1,1,"$205.00"
"56","Esquimalt",48.4387461188993,-123.394954987352,"Private room",1,1,"$51.00"
"57","Salt Spring Island",48.8776900650064,-123.568394135999,"Entire home/apt",1,1,"$225.00"
"58","Salt Spring Island",48.8796110332529,-123.569838248922,"Entire home/apt",1,1,"$200.00"
"59","Victoria",48.4349235119335,-123.340641508347,"Entire home/apt",1,1,"$104.00"
"60","Victoria",48.426241817042,-123.34018908473,"Entire home/apt",1,0,"$109.00"
"61","Southern Gulf Islands",48.993707029207,-123.579152708322,"Entire home/apt",1,2,"$125.00"
"62","Sooke",48.3867233944782,-123.724082203587,"Entire home/apt",1,1,"$80.00"
"63","Salt Spring Island",48.76703251518,-123.458162012314,"Private room",1,1,"$129.00"
"64","Salt Spring Island",48.8430107875708,-123.500580243284,"Entire home/apt",1,1,"$150.00"
